 net8            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 1.23875231e+00  3.59956792e-01  1.62180368e-11  1.17737631e-11  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249326e-09  3.44917423e-09  3.34172796e-09 
 9.84694893e-01  3.59958416e-01  1.33947105e-08  1.24123509e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59958418e-01  3.44917433e-09  3.34172801e-09 
 9.83580982e-01  3.59958399e-01  1.36714317e-08  1.26805994e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.37249332e-09  3.59958401e-01  3.34172801e-09 
 9.47735872e-01  3.59960021e-01  2.50511285e-08  2.37901260e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.59960023e-01  3.59960023e-01  3.34172806e-09 
 9.83569924e-01  3.59958321e-01  1.36753812e-08  1.26843731e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.37249332e-09  3.44917427e-09  3.34172801e-09 
 9.47729594e-01  3.59960091e-01  2.50545169e-08  2.37937758e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.59960093e-01  3.44917431e-09  3.34172806e-09 
 9.47130075e-01  3.59959943e-01  2.52899412e-08  2.40248880e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.37249337e-09  3.59959945e-01  3.34172806e-09 
 9.25007787e-01  3.59961647e-01  3.51444163e-08  3.37084245e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.59961649e-01  3.59961649e-01  3.34172811e-09 
 9.84445594e-01  3.59958448e-01  1.34600461e-08  1.24756855e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.37249332e-09  3.44917433e-09  3.34172801e-09 
 9.48206251e-01  3.59960240e-01  2.48706300e-08  2.36136405e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.59960243e-01  3.44917437e-09  3.34172807e-09 
