 b0              v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 0.00000000e+00  3.95957970e-01  1.36496293e-11  8.14281975e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38146532e-09  3.20679016e-09  3.35830111e-09 
 1.80000000e+00  3.95959394e-01  9.17367211e-10  8.28109137e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.95959396e-01  3.20679020e-09  3.35830127e-09 
 0.00000000e+00  3.95959335e-01  1.91841025e-09  1.75627690e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.38146532e-09  3.95959337e-01  3.35830122e-09 
 1.80000000e+00  3.95960787e-01  2.81908989e-09  2.60217803e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.95960789e-01  3.95960789e-01  3.35830132e-09 
 0.00000000e+00  3.95959382e-01  3.78058057e-09  3.51293750e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.38146532e-09  3.20679020e-09  3.35830122e-09 
 1.80000000e+00  3.95960773e-01  4.68149552e-09  4.37172787e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.95960775e-01  3.20679024e-09  3.35830131e-09 
 0.00000000e+00  3.95960762e-01  5.64458397e-09  5.29439603e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.38146543e-09  3.95960765e-01  3.35830137e-09 
 1.80000000e+00  3.95962139e-01  6.53740511e-09  6.15301587e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.95962141e-01  3.95962141e-01  3.35830147e-09 
 0.00000000e+00  3.95959410e-01  7.20981889e-09  6.80134349e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.38146532e-09  3.20679014e-09  3.35830127e-09 
 1.80000000e+00  3.95960840e-01  8.11444286e-09  7.67562369e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.95960842e-01  3.20679024e-09  3.35830132e-09 
