 vdd             i(Vout)         v(b5)           v(b6)          
 1.80000000e+00  3.66000563e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  6.62510047e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.29171357e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.53789936e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.73161041e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.99902367e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.65851357e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.09050191e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.00207842e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.27268912e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.93573174e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.01827347e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.37132980e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.64417871e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.29897903e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.15500853e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  6.61142252e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  6.93281876e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.59504426e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.84632820e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.03257855e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.30683078e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.96015673e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.12144960e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.30071953e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.57854224e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.23828084e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.04921405e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.67071698e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.94734953e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.60124391e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.18581411e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.01696462e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  6.77225387e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.43506557e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.68734426e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.87263538e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.14791790e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.80207873e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.10568443e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.14178889e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.41970041e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.07927914e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.03334230e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.51157317e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.79095907e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.44329026e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.17012355e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  7.99627031e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.08002545e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.73740150e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.99522243e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.17330154e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.45512105e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.10421927e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.13654686e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.43973722e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.72516273e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.37978542e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.06418874e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.81138668e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.09382791e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.74473802e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.20085630e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.26503277e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  6.69617251e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.35875328e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.61222213e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.79660731e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.07194311e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.72649475e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.09812071e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  1.06599174e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.34434735e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  4.00362410e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.02582121e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.43648657e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.71690276e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.36818590e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.16264864e-09  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  7.24362792e-11  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  7.00445923e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  3.66187081e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  9.92077531e-10  1.00000000e+00  1.00000000e+00 
 1.80000000e+00  2.09771756e-10  0.00000000e+00  0.00000000e+00 
 1.80000000e+00  8.37975023e-10  0.00000000e+00  1.00000000e+00 
 1.80000000e+00  5.02872410e-10  1.00000000e+00  0.00000000e+00 
 1.80000000e+00  1.12905774e-09  1.00000000e+00  1.00000000e+00 
