 b0              i(Vout)        
 0.00000000e+00  1.01465503e-11 
 1.80000000e+00  9.47423473e-10 
 0.00000000e+00  1.90472349e-09 
 1.80000000e+00  2.86686941e-09 
 0.00000000e+00  3.83064958e-09 
 1.80000000e+00  4.80713425e-09 
 0.00000000e+00  5.75533932e-09 
 1.80000000e+00  6.73067291e-09 
 0.00000000e+00  7.70319275e-09 
 1.80000000e+00  8.69562200e-09 
 0.00000000e+00  9.64993774e-09 
 1.80000000e+00  1.06385869e-08 
 0.00000000e+00  1.15523449e-08 
 1.80000000e+00  1.25435520e-08 
 0.00000000e+00  1.34909897e-08 
 1.80000000e+00  1.44800083e-08 
 0.00000000e+00  1.54827262e-08 
 1.80000000e+00  1.64934164e-08 
 0.00000000e+00  1.74468653e-08 
 1.80000000e+00  1.84444389e-08 
 0.00000000e+00  1.93575573e-08 
 1.80000000e+00  2.03669117e-08 
 0.00000000e+00  2.13131983e-08 
 1.80000000e+00  2.23043344e-08 
 0.00000000e+00  2.31654695e-08 
 1.80000000e+00  2.41779219e-08 
 0.00000000e+00  2.51222900e-08 
 1.80000000e+00  2.61294986e-08 
 0.00000000e+00  2.70163270e-08 
 1.80000000e+00  2.80277987e-08 
 0.00000000e+00  2.89673778e-08 
 1.80000000e+00  2.99676941e-08 
 0.00000000e+00  3.10836583e-08 
 1.80000000e+00  3.21065983e-08 
 0.00000000e+00  3.30547607e-08 
 1.80000000e+00  3.40588002e-08 
 0.00000000e+00  3.49577505e-08 
 1.80000000e+00  3.59693360e-08 
 0.00000000e+00  3.69113877e-08 
 1.80000000e+00  3.79108798e-08 
 0.00000000e+00  3.87748145e-08 
 1.80000000e+00  3.98020745e-08 
 0.00000000e+00  4.07473379e-08 
 1.80000000e+00  4.17594777e-08 
 0.00000000e+00  4.26355768e-08 
 1.80000000e+00  4.36444765e-08 
 0.00000000e+00  4.45764812e-08 
 1.80000000e+00  4.55733868e-08 
 0.00000000e+00  4.63765701e-08 
 1.80000000e+00  4.74053934e-08 
 0.00000000e+00  4.83478999e-08 
 1.80000000e+00  4.93611196e-08 
 0.00000000e+00  5.02296871e-08 
 1.80000000e+00  5.12553555e-08 
 0.00000000e+00  5.21956878e-08 
 1.80000000e+00  5.32050421e-08 
 0.00000000e+00  5.40033085e-08 
 1.80000000e+00  5.50357981e-08 
 0.00000000e+00  5.59747519e-08 
 1.80000000e+00  5.69922065e-08 
 0.00000000e+00  5.78461368e-08 
 1.80000000e+00  5.88662061e-08 
 0.00000000e+00  5.97969603e-08 
 1.80000000e+00  6.08043678e-08 
 0.00000000e+00  6.23177243e-08 
 1.80000000e+00  6.33011865e-08 
 0.00000000e+00  6.42363602e-08 
 1.80000000e+00  6.52080274e-08 
 0.00000000e+00  6.61238460e-08 
 1.80000000e+00  6.71131062e-08 
 0.00000000e+00  6.80461056e-08 
 1.80000000e+00  6.90214819e-08 
 0.00000000e+00  6.99118488e-08 
 1.80000000e+00  7.09096923e-08 
 0.00000000e+00  7.18455766e-08 
 1.80000000e+00  7.28365279e-08 
 0.00000000e+00  7.37191499e-08 
 1.80000000e+00  7.47122613e-08 
 0.00000000e+00  7.56440954e-08 
 1.80000000e+00  7.66323609e-08 
 0.00000000e+00  7.75089717e-08 
 1.80000000e+00  7.85272505e-08 
 0.00000000e+00  7.94686628e-08 
 1.80000000e+00  8.04670606e-08 
 0.00000000e+00  8.13473235e-08 
 1.80000000e+00  8.23582553e-08 
 0.00000000e+00  8.32925622e-08 
 1.80000000e+00  8.42843235e-08 
 0.00000000e+00  8.50982786e-08 
 1.80000000e+00  8.61096368e-08 
 0.00000000e+00  8.70349055e-08 
 1.80000000e+00  8.80325075e-08 
 0.00000000e+00  8.88869636e-08 
 1.80000000e+00  8.98884309e-08 
 0.00000000e+00  9.08082853e-08 
 1.80000000e+00  9.17958118e-08 
 0.00000000e+00  9.26441430e-08 
 1.80000000e+00  9.36635729e-08 
 0.00000000e+00  9.45882590e-08 
 1.80000000e+00  9.55890442e-08 
 0.00000000e+00  9.64577680e-08 
 1.80000000e+00  9.74683445e-08 
 0.00000000e+00  9.83904869e-08 
 1.80000000e+00  9.93810687e-08 
 0.00000000e+00  1.00191230e-07 
 1.80000000e+00  1.01215235e-07 
 0.00000000e+00  1.02147297e-07 
 1.80000000e+00  1.03158953e-07 
 0.00000000e+00  1.04013438e-07 
 1.80000000e+00  1.05025521e-07 
 0.00000000e+00  1.05948089e-07 
 1.80000000e+00  1.06947596e-07 
 0.00000000e+00  1.07680719e-07 
 1.80000000e+00  1.08713522e-07 
 0.00000000e+00  1.09646507e-07 
 1.80000000e+00  1.10663080e-07 
 0.00000000e+00  1.11507021e-07 
 1.80000000e+00  1.12528355e-07 
 0.00000000e+00  1.13454348e-07 
 1.80000000e+00  1.14458970e-07 
 0.00000000e+00  1.15216181e-07 
 1.80000000e+00  1.16242660e-07 
 0.00000000e+00  1.17167829e-07 
 1.80000000e+00  1.18179983e-07 
 0.00000000e+00  1.19012199e-07 
 1.80000000e+00  1.20028091e-07 
 0.00000000e+00  1.20944549e-07 
 1.80000000e+00  1.21944439e-07 
