 net9            v(Vbn)          i(Vout)         i(Vout1)        v(b6)           v(b5)           v(b4)           v(b3)           v(b2)           v(b1)           v(b0)           v(b0out)        v(b1out)        v(b6out)       
 1.27934806e+00  3.99471387e-01  1.15440440e-11  8.48424291e-12  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533628e-09  3.32533628e-09  3.32533628e-09 
 9.75364154e-01  3.99472689e-01  9.90687854e-10  9.45076684e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99472692e-01  3.32533629e-09  3.32533629e-09 
 9.75903993e-01  3.99472823e-01  1.99031089e-09  1.90411840e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533630e-09  3.99472825e-01  3.32533630e-09 
 9.39008697e-01  3.99474018e-01  2.99441005e-09  2.86897004e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99474020e-01  3.99474020e-01  3.32533636e-09 
 9.77004072e-01  3.99472718e-01  3.99935768e-09  3.83580521e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533629e-09  3.32533629e-09  3.32533629e-09 
 9.39429631e-01  3.99474014e-01  5.01693624e-09  4.81580056e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99474016e-01  3.32533642e-09  3.32533642e-09 
 9.39881608e-01  3.99474090e-01  6.00459422e-09  5.76780458e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533642e-09  3.99474093e-01  3.32533642e-09 
 9.17246636e-01  3.99475345e-01  7.01957417e-09  6.74689923e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99475347e-01  3.99475347e-01  3.32533644e-09 
 9.79282115e-01  3.99472788e-01  8.03090434e-09  7.72317428e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533630e-09  3.32533630e-09  3.32533630e-09 
 9.40525304e-01  3.99474008e-01  9.06248829e-09  8.71968637e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99474010e-01  3.32533642e-09  3.32533642e-09 
 9.40911516e-01  3.99474082e-01  1.00539091e-08  9.67799807e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533637e-09  3.99474084e-01  3.32533637e-09 
 9.17907644e-01  3.99475360e-01  1.10803939e-08  1.06707666e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99475362e-01  3.99475362e-01  3.32533644e-09 
 9.41673741e-01  3.99474057e-01  1.20285717e-08  1.15882999e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533637e-09  3.32533637e-09  3.32533637e-09 
 9.18307421e-01  3.99475382e-01  1.30565173e-08  1.25835730e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99475384e-01  3.32533650e-09  3.32533650e-09 
 9.18661962e-01  3.99475342e-01  1.40388900e-08  1.35351713e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475345e-01  3.32533644e-09 
 9.02064696e-01  3.99476726e-01  1.50637932e-08  1.45284406e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  3.99476728e-01  3.99476728e-01  3.32533657e-09 
 9.84154593e-01  3.99472703e-01  1.61019824e-08  1.55350891e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.32533629e-09  3.32533629e-09  3.32533629e-09 
 9.42926671e-01  3.99474026e-01  1.71489162e-08  1.65506800e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  3.99474028e-01  3.32533636e-09  3.32533636e-09 
 9.43283459e-01  3.99474027e-01  1.81350096e-08  1.75076450e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.32533636e-09  3.99474029e-01  3.32533636e-09 
 9.19478942e-01  3.99475311e-01  1.91670624e-08  1.85096576e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  3.99475313e-01  3.99475313e-01  3.32533649e-09 
 9.43999776e-01  3.99474116e-01  2.01117065e-08  1.94271587e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.32533637e-09  3.32533637e-09  3.32533637e-09 
 9.19840189e-01  3.99475412e-01  2.11547694e-08  2.04406616e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.99475414e-01  3.32533644e-09  3.32533644e-09 
 9.20184728e-01  3.99475371e-01  2.21325612e-08  2.13911172e-08  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  3.32533644e-09  3.99475373e-01  3.32533644e-09 
